1682447133.573248 client started (80551): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682447133.573299 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:08:47 PST 2022; root:xnu-8792.61.2~4/RELEASE_X86_64
1682447133.573322 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1682447133.581739 sending message 112 to peer 0x7fca3e031000 (10 bytes)
1682447133.581753 sending message 112 to peer 0x7fca3e031000 (5 bytes)
1682447133.581763 sending message 112 to peer 0x7fca3e031000 (15 bytes)
1682447133.581783 sending message 104 to peer 0x7fca3e031000 (0 bytes)
1682447133.581803 sending message 110 to peer 0x7fca3e031000 (0 bytes)
1682447133.581831 sending message 107 to peer 0x7fca3e031000 (4 bytes)
1682447133.581868 sending message 105 to peer 0x7fca3e031000 (20 bytes)
1682447133.581891 sending message 105 to peer 0x7fca3e031000 (22 bytes)
1682447133.581913 sending message 105 to peer 0x7fca3e031000 (23 bytes)
1682447133.581931 sending message 105 to peer 0x7fca3e031000 (49 bytes)
1682447133.581949 sending message 105 to peer 0x7fca3e031000 (42 bytes)
1682447133.581965 sending message 105 to peer 0x7fca3e031000 (30 bytes)
1682447133.581979 sending message 105 to peer 0x7fca3e031000 (57 bytes)
1682447133.581989 sending message 105 to peer 0x7fca3e031000 (14 bytes)
1682447133.582001 sending message 105 to peer 0x7fca3e031000 (20 bytes)
1682447133.582012 sending message 105 to peer 0x7fca3e031000 (72 bytes)
1682447133.582023 sending message 105 to peer 0x7fca3e031000 (16 bytes)
1682447133.582032 sending message 105 to peer 0x7fca3e031000 (60 bytes)
1682447133.582040 sending message 105 to peer 0x7fca3e031000 (18 bytes)
1682447133.582051 sending message 105 to peer 0x7fca3e031000 (17 bytes)
1682447133.582060 sending message 105 to peer 0x7fca3e031000 (10 bytes)
1682447133.582069 sending message 105 to peer 0x7fca3e031000 (52 bytes)
1682447133.582079 sending message 105 to peer 0x7fca3e031000 (16 bytes)
1682447133.582088 sending message 105 to peer 0x7fca3e031000 (32 bytes)
1682447133.582096 sending message 105 to peer 0x7fca3e031000 (96 bytes)
1682447133.582107 sending message 105 to peer 0x7fca3e031000 (54 bytes)
1682447133.582117 sending message 105 to peer 0x7fca3e031000 (144 bytes)
1682447133.582167 sending message 105 to peer 0x7fca3e031000 (30 bytes)
1682447133.582178 sending message 105 to peer 0x7fca3e031000 (11 bytes)
1682447133.582188 sending message 105 to peer 0x7fca3e031000 (248 bytes)
1682447133.582200 sending message 105 to peer 0x7fca3e031000 (32 bytes)
1682447133.582209 sending message 105 to peer 0x7fca3e031000 (24 bytes)
1682447133.582219 sending message 105 to peer 0x7fca3e031000 (15 bytes)
1682447133.582231 sending message 105 to peer 0x7fca3e031000 (8 bytes)
1682447133.582239 sending message 105 to peer 0x7fca3e031000 (66 bytes)
1682447133.582248 sending message 105 to peer 0x7fca3e031000 (38 bytes)
1682447133.582257 sending message 105 to peer 0x7fca3e031000 (19 bytes)
1682447133.582267 sending message 105 to peer 0x7fca3e031000 (21 bytes)
1682447133.582276 sending message 105 to peer 0x7fca3e031000 (67 bytes)
1682447133.582285 sending message 105 to peer 0x7fca3e031000 (18 bytes)
1682447133.582297 sending message 105 to peer 0x7fca3e031000 (26 bytes)
1682447133.582305 sending message 105 to peer 0x7fca3e031000 (57 bytes)
1682447133.582315 sending message 105 to peer 0x7fca3e031000 (43 bytes)
1682447133.582338 sending message 105 to peer 0x7fca3e031000 (13 bytes)
1682447133.582352 sending message 105 to peer 0x7fca3e031000 (13 bytes)
1682447133.582361 sending message 105 to peer 0x7fca3e031000 (16 bytes)
1682447133.582372 sending message 105 to peer 0x7fca3e031000 (14 bytes)
1682447133.582382 sending message 105 to peer 0x7fca3e031000 (19 bytes)
1682447133.582392 sending message 105 to peer 0x7fca3e031000 (30 bytes)
1682447133.582403 sending message 105 to peer 0x7fca3e031000 (11 bytes)
1682447133.582412 sending message 105 to peer 0x7fca3e031000 (7 bytes)
1682447133.582418 sending message 105 to peer 0x7fca3e031000 (42 bytes)
1682447133.582424 sending message 105 to peer 0x7fca3e031000 (39 bytes)
1682447133.582429 sending message 105 to peer 0x7fca3e031000 (22 bytes)
1682447133.582435 sending message 106 to peer 0x7fca3e031000 (0 bytes)
1682447133.582566 sending message 200 to peer 0x7fca3e031000 (4 bytes)
1682447133.582600 client loop enter
1682447133.582804 peer 0x7fca3e031000 message 303
1682447133.582830 open write file 2 -
1682447133.582862 sending message 305 to peer 0x7fca3e031000 (8 bytes)
1682447133.582888 write check file 2
1682447133.582931 peer 0x7fca3e031000 message 304
1682447133.582943 write 58 to file 2
1682447133.582955 peer 0x7fca3e031000 message 203
1682447133.582962 file 2 58 bytes left
1682447133.582986 write check file 2
1682447133.582993 client loop exit
